Connecting to /dev/ttyUSB1 @ 57600...
HEARTBEAT received: 0, 0
t_ms,ch6,alt,roll,pitch,yaw
70010,2000,4.029,-1.1,0.6,-1.0
70162,2000,4.03,-1.1,0.5,0.4
70314,2000,4.031,-1.3,0.4,1.9
70466,2000,4.031,-1.5,0.2,3.3
70617,2000,4.032,-1.7,0.0,4.7
70769,2000,4.031,-1.6,-0.2,5.7
70921,2000,4.033,-1.3,-0.2,6.4
71073,2000,4.034,-1.1,-0.1,6.8
71224,2000,4.035,-0.8,-0.1,6.9
71376,2000,4.036,-0.9,-0.1,6.7
71528,2000,4.033,-1.2,-0.3,6.3
71679,2000,4.032,-1.5,-0.5,5.9
71831,2000,4.03,-1.3,-0.5,5.5
71983,2000,4.028,-1.1,-0.5,5.2
72135,2000,4.025,-0.9,-0.4,4.9
72287,2000,4.022,-1.0,-0.3,4.8
72438,2000,4.02,-1.0,-0.3,4.8
72590,2000,4.02,-1.0,-0.3,4.7
72742,2000,4.021,-1.0,-0.3,4.8
72893,2000,4.022,-1.1,-0.2,4.9
73045,2000,4.024,-0.9,-0.2,5.1
73197,2000,4.025,-0.9,-0.2,5.3
73349,2000,4.025,-0.7,-0.3,5.5
73500,2000,4.025,-0.4,-0.3,5.7
73652,2000,4.028,-0.2,-0.4,5.8
73804,2000,4.027,0.1,-0.6,5.9
73956,2000,4.026,0.3,-0.5,5.8
74108,2000,4.024,0.3,-0.5,5.7
74259,2000,4.023,0.5,-0.5,5.3
74411,2000,4.022,0.5,-0.5,4.9
74563,2000,4.023,0.5,-0.5,4.3
74715,2000,4.023,0.7,-0.5,3.6
74866,2000,4.027,1.0,-0.6,3.0
75018,2000,4.028,1.3,-0.5,2.4
75170,2000,4.03,1.3,-0.6,1.7
75322,2000,4.029,1.2,-0.6,1.0
75474,2000,4.03,1.2,-0.6,0.4
75625,2000,4.03,1.0,-0.7,-0.0
75777,2000,4.029,1.0,-0.8,-0.3
75929,2000,4.028,1.0,-0.9,-0.5
76081,2000,4.03,1.0,-0.9,-0.6
76232,2000,4.031,1.0,-0.9,-0.5
76384,2000,4.028,0.8,-0.8,-0.4
76536,2000,4.024,0.7,-0.6,-0.4
76688,2000,4.019,0.6,-0.4,-0.3
76891,2000,3.916,0.4,0.1,-0.1
77043,2000,3.912,-0.5,-0.9,9.5
77195,2000,3.909,-0.4,-0.9,9.6
77347,2000,3.906,-0.5,-0.9,9.8
77498,2000,3.902,-0.7,-0.9,10.0
77650,2000,3.901,-0.7,-0.5,10.1
77802,2000,3.9,-0.5,-0.1,10.0
77954,2000,3.899,-0.4,0.2,9.8
78106,2000,3.897,-0.6,0.3,9.3
78258,2000,3.896,-0.8,0.6,8.7
78409,2000,3.897,-0.8,0.7,8.0
78561,2000,3.901,-0.7,0.6,7.2
78713,2000,3.909,-0.5,0.5,6.5
78865,2000,3.916,-0.2,0.5,5.7
79017,2000,3.924,-0.3,0.3,5.2
79168,2000,3.931,-0.3,0.3,4.7
79320,2000,3.938,-0.3,0.3,4.4
79472,2000,3.943,-0.1,0.2,4.3
79624,2000,3.949,0.0,0.2,4.4
79776,2000,3.953,0.0,-0.1,4.7
79927,2000,3.956,0.2,-0.3,5.1
80079,2000,3.957,0.4,-0.3,5.5
80231,2000,3.958,0.4,-0.2,5.8
80383,2000,3.958,0.4,-0.2,6.1
80535,2000,3.959,0.4,-0.3,6.4
80686,2000,3.959,0.5,-0.2,6.8
80838,2000,3.958,0.5,-0.3,7.0
80990,2000,3.957,0.6,-0.4,7.1
81142,2000,3.953,0.6,-0.6,7.3
81294,2000,3.949,0.5,-0.9,7.3
81446,2000,3.946,0.4,-1.1,7.4
81597,2000,3.944,0.3,-1.1,7.2
81749,2000,3.943,0.1,-0.9,6.9
81901,2000,3.941,0.2,-0.6,6.4
82053,2000,3.939,0.3,-0.6,5.9
82205,2000,3.939,0.2,-0.8,5.4
82357,2000,3.941,0.3,-0.9,4.9
82509,2000,3.946,0.4,-0.9,4.6
82661,2000,3.95,0.2,-1.1,4.3
82812,2000,3.954,0.3,-1.2,4.1
82964,2000,3.956,0.2,-1.1,4.0
83116,2000,3.958,-0.1,-0.8,4.1
83268,2000,3.96,-0.5,-0.5,4.1
83420,2000,3.963,-0.5,-0.1,4.1
83572,2000,3.966,-0.5,0.1,4.0
